20948, 01SEP2012 00:00, 32
34764, 01JAN2012 00:00, 0
34764, 01FEB2012 00:00, 5
34764, 01MAR2012 00:00, 10
34764, 01APR2012 00:00, 13
34764, 01MAY2012 00:00, 22
34764, 01JUN2012 00:00, 27
34764, 01JUL2012 00:00, 31
34764, 01AUG2012 00:00, 33
34764, 01SEP2012 00:00, 35
11958, 01JAN2012 00:00, 0
11958, 01FEB2012 00:00, 1
11958, 01MAR2012 00:00, 3
11958, 01APR2012 00:00, 4
11958, 01MAY2012 00:00, 9
11958, 01JUN2012 00:00, 9
11958, 01JUL2012 00:00, 9
11958, 01AUG2012 00:00, 9
11958, 01SEP2012 00:00, 9
11838, 01JAN2012 00:00, 0
11838, 01FEB2012 00:00, 1
11838, 01MAR2012 00:00, 2
11838, 01APR2012 00:00, 2
11838, 01MAY2012 00:00, 2
11838, 01JUN2012 00:00, 2
11838, 01JUL2012 00:00, 2
11838, 01AUG2012 00:00, 2
11838, 01SEP2012 00:00, 4
38447, 01JAN2012 00:00, 0
38447, 01FEB2012 00:00, 2
38447, 01MAR2012 00:00, 8
38447, 01APR2012 00:00, 14
38447, 01MAY2012 00:00, 16
38447, 01JUN2012 00:00, 20
38447, 01JUL2012 00:00, 21
38447, 01AUG2012 00:00, 21
38447, 01SEP2012 00:00, 26
44135, 01JAN2012 00:00, 0
44135, 01FEB2012 00:00, 4
44135, 01MAR2012 00:00, 10
44135, 01APR2012 00:00, 14
44135, 01MAY2012 00:00, 19
44135, 01JUN2012 00:00, 19
44135, 01JUL2012 00:00, 19
44135, 01AUG2012 00:00, 19
44135, 01SEP2012 00:00, 19
11938, 01JAN2012 00:00, 0
11938, 01FEB2012 00:00, 3
11938, 01MAR2012 00:00, 6
11938, 01APR2012 00:00, 13
11938, 01MAY2012 00:00, 17
11938, 01JUN2012 00:00, 24
11938, 01JUL2012 00:00, 29
11938, 01AUG2012 00:00, 29
11938, 01SEP2012 00:00, 37
28243, 01JAN2012 00:00, 0
28243, 01FEB2012 00:00, 1
28243, 01MAR2012 00:00, 4
28243, 01APR2012 00:00, 11
28243, 01MAY2012 00:00, 15
28243, 01JUN2012 00:00, 17
28243, 01JUL2012 00:00, 17
28243, 01AUG2012 00:00, 18
28243, 01SEP2012 00:00, 20
18658, 01JAN2012 00:00, 0
18658, 01FEB2012 00:00, 2
18658, 01MAR2012 00:00, 9
18658, 01APR2012 00:00, 14
18658, 01MAY2012 00:00, 16
18658, 01JUN2012 00:00, 18
18658, 01JUL2012 00:00, 20
18658, 01AUG2012 00:00, 20
18658, 01SEP2012 00:00, 24
28106, 01JAN2012 00:00, 0
28106, 01FEB2012 00:00, 1
28106, 01MAR2012 00:00, 1
28106, 01APR2012 00:00, 2
28106, 01MAY2012 00:00, 2
28106, 01JUN2012 00:00, 5
28106, 01JUL2012 00:00, 8
28106, 01AUG2012 00:00, 9
28106, 01SEP2012 00:00, 11
22084, 01JAN2012 00:00, 0
22084, 01FEB2012 00:00, 7
22084, 01MAR2012 00:00, 13
22084, 01APR2012 00:00, 16
22084, 01MAY2012 00:00, 18
22084, 01JUN2012 00:00, 23
22084, 01JUL2012 00:00, 23
22084, 01AUG2012 00:00, 25
22084, 01SEP2012 00:00, 25
