24987;POSITION;A2NX;18459360;Provavtalet slutar
25562;POSITION;A2NX;19260000;Provavtalet slutar
25635;POSITION;A2NX;19134720;Provavtalet slutar
25732;POSITION;A2NX;19260000;Provavtalet slutar
25749;POSITION;A2NX;19260000;Provavtalet slutar
25777;POSITION;A2NX;19134720;Provavtalet slutar
25779;POSITION;A2NX;19454400;Provavtalet slutar
25795;POSITION;A2NX;18738720;Provavtalet slutar
25867;POSITION;A2NX;19455840;Provavtalet slutar
25926;POSITION;A2NX;18479520;Provavtalet slutar
25967;POSITION;A2NX;18721440;Provavtalet slutar
26018;POSITION;A2NX;19432800;Provavtalet slutar
26075;POSITION;A2NX;18480960;Provavtalet slutar
26160;POSITION;A2NX;19081440;Provavtalet slutar
26308;POSITION;A2NX;18610560;Provavtalet slutar
26344;POSITION;A2NX;19432800;Provavtalet slutar
26443;POSITION;A2NX;19455840;Provavtalet slutar
26488;POSITION;A2NX;18627840;Provavtalet slutar
26945;POSITION;A2NX;18627840;Provavtalet slutar
27227;POSITION;A2NX;19455840;Provavtalet slutar
27274;POSITION;A2NX;18635040;Provavtalet slutar
27276;POSITION;A2NX;19432800;Provavtalet slutar
27321;POSITION;A2NX;18858240;Provavtalet slutar
27334;POSITION;A2NX;18878400;Provavtalet slutar
27646;POSITION;A2NX;19340640;Provavtalet slutar
27674;POSITION;A2NX;18707040;Provavtalet slutar
27677;POSITION;A2NX;18858240;Provavtalet slutar
27680;POSITION;A2NX;18898560;Provavtalet slutar
27682;POSITION;A2NX;19340640;Provavtalet slutar
27692;POSITION;A2NX;19340640;Provavtalet slutar
27695;POSITION;A2NX;18678240;Provavtalet slutar
27710;POSITION;A2NX;18898560;Provavtalet slutar
27840;POSITION;A2NX;18686880;Provavtalet slutar
27878;POSITION;A2NX;18917280;Provavtalet slutar
28175;POSITION;A2NX;18676800;Provavtalet slutar
28305;POSITION;A2NX;19160640;Provavtalet slutar
28641;POSITION;A2NX;19454400;Provavtalet slutar
28717;POSITION;A2NX;19031040;Provavtalet slutar
28782;POSITION;A2NX;18600480;Provavtalet slutar
28850;POSITION;A2NX;19121760;Provavtalet slutar
29057;POSITION;A2NX;18917280;Provavtalet slutar
29119;POSITION;A2NX;19455840;Provavtalet slutar
29191;POSITION;A2NX;18878400;Provavtalet slutar
29226;POSITION;A2NX;19031040;Provavtalet slutar
29228;POSITION;A2NX;18898560;Provavtalet slutar
29266;POSITION;A2NX;19391040;Provavtalet slutar
29285;POSITION;A2NX;19455840;Provavtalet slutar
29433;POSITION;A2NX;18678240;Provavtalet slutar
29530;POSITION;A2NX;18648000;Provavtalet slutar
29565;POSITION;A2NX;18747360;Provavtalet slutar
29572;POSITION;A2NX;18607680;Provavtalet slutar
29603;POSITION;A2NX;18917280;Provavtalet slutar
29967;POSITION;A2NX;18917280;Provavtalet slutar
29968;POSITION;A2NX;19081440;Provavtalet slutar
29982;POSITION;A2NX;19121760;Provavtalet slutar
29993;POSITION;A2NX;18614880;Provavtalet slutar
29994;POSITION;A2NX;19340640;Provavtalet slutar
42233;POSITION;A2NX;19081440;Provavtalet slutar
84082;POSITION;A2NX;19031040;Provavtalet slutar
84084;POSITION;A2NX;19340640;Provavtalet slutar
85139;POSITION;A2NX;18678240;Provavtalet slutar
85153;POSITION;A2NX;18707040;Provavtalet slutar
85185;POSITION;A2NX;18708480;Provavtalet slutar
85297;POSITION;A2NX;19134720;Provavtalet slutar
85372;POSITION;A2NX;18747360;Provavtalet slutar
85427;POSITION;A2NX;19340640;Provavtalet slutar
85715;POSITION;A2NX;19041120;Provavtalet slutar
85765;POSITION;A2NX;19454400;Provavtalet slutar
85767;POSITION;A2NX;18630720;Provavtalet slutar
85773;POSITION;A2NX;19081440;Provavtalet slutar
85775;POSITION;A2NX;19121760;Provavtalet slutar
85793;POSITION;A2NX;19041120;Provavtalet slutar
85880;POSITION;A2NX;19094400;Provavtalet slutar
85884;POSITION;A2NX;19134720;Provavtalet slutar
87926;POSITION;A2NX;19340640;Provavtalet slutar
87963;POSITION;A2NX;19455840;Provavtalet slutar
